Report,Date,Community Area
Vacant/Abandoned Building,03/02/2011,67
Vacant/Abandoned Building,03/02/2011,69
Vacant/Abandoned Building,03/03/2011,8
Vacant/Abandoned Building,03/03/2011,20
Vacant/Abandoned Building,03/03/2011,29
Vacant/Abandoned Building,03/03/2011,29
Vacant/Abandoned Building,03/03/2011,30
Vacant/Abandoned Building,03/03/2011,38
Vacant/Abandoned Building,03/03/2011,43
Vacant/Abandoned Building,03/03/2011,67
Vacant/Abandoned Building,03/04/2011,2
Vacant/Abandoned Building,03/05/2011,48
Vacant/Abandoned Building,03/05/2011,49
Vacant/Abandoned Building,03/05/2011,66
Vacant/Abandoned Building,03/07/2011,67
Vacant/Abandoned Building,03/07/2011,69
Vacant/Abandoned Building,03/08/2011,8
Vacant/Abandoned Building,03/08/2011,26
Vacant/Abandoned Building,03/08/2011,29
Vacant/Abandoned Building,03/08/2011,48
Vacant/Abandoned Building,03/08/2011,49
Vacant/Abandoned Building,03/08/2011,68
Vacant/Abandoned Building,03/08/2011,68
Vacant/Abandoned Building,03/08/2011,69
Vacant/Abandoned Building,03/09/2011,67
Vacant/Abandoned Building,03/09/2011,69
Vacant/Abandoned Building,03/09/2011,69
Vacant/Abandoned Building,03/10/2011,9
Vacant/Abandoned Building,03/10/2011,26
Vacant/Abandoned Building,03/10/2011,49
Vacant/Abandoned Building,03/10/2011,49
Vacant/Abandoned Building,03/11/2011,9
Vacant/Abandoned Building,03/11/2011,15
Vacant/Abandoned Building,03/11/2011,23
Vacant/Abandoned Building,03/11/2011,23
Vacant/Abandoned Building,03/11/2011,25
Vacant/Abandoned Building,03/11/2011,25
Vacant/Abandoned Building,03/11/2011,26
Vacant/Abandoned Building,03/11/2011,29
Vacant/Abandoned Building,03/11/2011,75
Vacant/Abandoned Building,03/12/2011,26
Vacant/Abandoned Building,03/13/2011,23
Vacant/Abandoned Building,03/13/2011,49
Vacant/Abandoned Building,03/13/2011,49
Vacant/Abandoned Building,03/14/2011,25
Vacant/Abandoned Building,03/14/2011,25
Vacant/Abandoned Building,03/14/2011,30
Vacant/Abandoned Building,03/14/2011,43
Vacant/Abandoned Building,03/14/2011,49
Vacant/Abandoned Building,03/14/2011,52
Vacant/Abandoned Building,03/14/2011,67
Vacant/Abandoned Building,03/14/2011,68
Vacant/Abandoned Building,03/15/2011,16
Vacant/Abandoned Building,03/15/2011,23
Vacant/Abandoned Building,03/15/2011,49
Vacant/Abandoned Building,03/15/2011,53
Vacant/Abandoned Building,03/15/2011,53
Vacant/Abandoned Building,03/15/2011,67
Vacant/Abandoned Building,03/15/2011,68
Vacant/Abandoned Building,03/15/2011,69
Vacant/Abandoned Building,03/15/2011,71
Vacant/Abandoned Building,03/15/2011,74
Vacant/Abandoned Building,03/16/2011,8
Vacant/Abandoned Building,03/16/2011,24
Vacant/Abandoned Building,03/16/2011,26
Vacant/Abandoned Building,03/16/2011,27
Vacant/Abandoned Building,03/16/2011,29
Vacant/Abandoned Building,03/16/2011,52
Vacant/Abandoned Building,03/16/2011,67
Vacant/Abandoned Building,03/17/2011,23
Vacant/Abandoned Building,03/17/2011,25
Vacant/Abandoned Building,03/17/2011,27
Vacant/Abandoned Building,03/17/2011,43
Vacant/Abandoned Building,03/17/2011,61
Vacant/Abandoned Building,03/17/2011,67
Vacant/Abandoned Building,03/17/2011,69
Vacant/Abandoned Building,03/17/2011,71
Vacant/Abandoned Building,03/18/2011,44
Vacant/Abandoned Building,03/18/2011,49
Vacant/Abandoned Building,03/18/2011,58
Vacant/Abandoned Building,03/18/2011,69
Vacant/Abandoned Building,03/19/2011,26
Vacant/Abandoned Building,03/19/2011,42
Vacant/Abandoned Building,03/20/2011,23
Vacant/Abandoned Building,03/20/2011,50
Vacant/Abandoned Building,03/20/2011,53
Vacant/Abandoned Building,03/21/2011,44
Vacant/Abandoned Building,03/21/2011,46
Vacant/Abandoned Building,03/21/2011,49
Vacant/Abandoned Building,03/22/2011,7
Vacant/Abandoned Building,03/22/2011,61
Vacant/Abandoned Building,03/22/2011,71
Vacant/Abandoned Building,03/23/2011,4
Vacant/Abandoned Building,03/23/2011,19
Vacant/Abandoned Building,03/23/2011,23
Vacant/Abandoned Building,03/23/2011,23
Vacant/Abandoned Building,03/23/2011,23
Vacant/Abandoned Building,03/23/2011,23
Vacant/Abandoned Building,03/23/2011,25
Vacant/Abandoned Building,03/24/2011,5
Vacant/Abandoned Building,03/24/2011,22
Vacant/Abandoned Building,03/24/2011,29
Vacant/Abandoned Building,03/24/2011,29
Vacant/Abandoned Building,03/24/2011,43
Vacant/Abandoned Building,03/24/2011,46
Vacant/Abandoned Building,03/24/2011,67
Vacant/Abandoned Building,03/25/2011,23
Vacant/Abandoned Building,03/25/2011,49
Vacant/Abandoned Building,03/28/2011,3
Vacant/Abandoned Building,03/28/2011,23
Vacant/Abandoned Building,03/28/2011,40
Vacant/Abandoned Building,03/28/2011,67
Vacant/Abandoned Building,03/29/2011,2
Vacant/Abandoned Building,03/29/2011,25
Vacant/Abandoned Building,03/29/2011,29
Vacant/Abandoned Building,03/29/2011,40
Vacant/Abandoned Building,03/29/2011,42
Vacant/Abandoned Building,03/29/2011,67
Vacant/Abandoned Building,03/29/2011,67
Vacant/Abandoned Building,03/30/2011,25
Vacant/Abandoned Building,03/30/2011,52
Vacant/Abandoned Building,03/30/2011,67
Vacant/Abandoned Building,03/30/2011,67
Vacant/Abandoned Building,03/30/2011,68
Vacant/Abandoned Building,03/31/2011,43
Vacant/Abandoned Building,04/01/2011,18
Vacant/Abandoned Building,04/01/2011,46
Vacant/Abandoned Building,04/01/2011,53
Vacant/Abandoned Building,04/01/2011,66
Vacant/Abandoned Building,04/01/2011,73
Vacant/Abandoned Building,04/01/2011,73
Vacant/Abandoned Building,04/02/2011,40
Vacant/Abandoned Building,04/02/2011,49
Vacant/Abandoned Building,04/02/2011,62
Vacant/Abandoned Building,04/02/2011,66
Vacant/Abandoned Building,04/02/2011,67
Vacant/Abandoned Building,04/02/2011,67
Vacant/Abandoned Building,04/03/2011,42
Vacant/Abandoned Building,04/03/2011,67
Vacant/Abandoned Building,04/03/2011,71
Vacant/Abandoned Building,04/04/2011,25
Vacant/Abandoned Building,04/04/2011,49
Vacant/Abandoned Building,04/04/2011,52
Vacant/Abandoned Building,04/04/2011,66
Vacant/Abandoned Building,04/04/2011,67
Vacant/Abandoned Building,04/06/2011,46
Vacant/Abandoned Building,04/06/2011,63
Vacant/Abandoned Building,04/06/2011,67
Vacant/Abandoned Building,04/07/2011,23
Vacant/Abandoned Building,04/07/2011,25
Vacant/Abandoned Building,04/07/2011,29
Vacant/Abandoned Building,04/07/2011,29
Vacant/Abandoned Building,04/07/2011,29
Vacant/Abandoned Building,04/07/2011,41
Vacant/Abandoned Building,04/07/2011,53
Vacant/Abandoned Building,04/07/2011,53
Vacant/Abandoned Building,04/07/2011,69
Vacant/Abandoned Building,04/08/2011,29
Vacant/Abandoned Building,04/08/2011,29
Vacant/Abandoned Building,04/08/2011,42
Vacant/Abandoned Building,04/08/2011,65
Vacant/Abandoned Building,04/08/2011,67
Vacant/Abandoned Building,04/08/2011,67
Vacant/Abandoned Building,04/09/2011,23
Vacant/Abandoned Building,04/10/2011,23
Vacant/Abandoned Building,04/10/2011,49
Vacant/Abandoned Building,04/11/2011,25
Vacant/Abandoned Building,04/11/2011,27
Vacant/Abandoned Building,04/11/2011,29
Vacant/Abandoned Building,04/11/2011,29
Vacant/Abandoned Building,04/11/2011,29
Vacant/Abandoned Building,04/11/2011,42
Vacant/Abandoned Building,04/11/2011,46
Vacant/Abandoned Building,04/11/2011,47
Vacant/Abandoned Building,04/11/2011,49
Vacant/Abandoned Building,04/11/2011,67
Vacant/Abandoned Building,04/11/2011,67
Vacant/Abandoned Building,04/11/2011,68
Vacant/Abandoned Building,04/11/2011,68
Vacant/Abandoned Building,04/11/2011,73
Vacant/Abandoned Building,04/11/2011,73
Vacant/Abandoned Building,04/11/2011,73
Vacant/Abandoned Building,04/12/2011,5
Vacant/Abandoned Building,04/12/2011,14
Vacant/Abandoned Building,04/12/2011,16
Vacant/Abandoned Building,04/12/2011,23
Vacant/Abandoned Building,04/12/2011,25
Vacant/Abandoned Building,04/12/2011,26
Vacant/Abandoned Building,04/12/2011,45
Vacant/Abandoned Building,04/12/2011,48
Vacant/Abandoned Building,04/12/2011,48
Vacant/Abandoned Building,04/12/2011,48
Vacant/Abandoned Building,04/12/2011,50
Vacant/Abandoned Building,04/12/2011,55
Vacant/Abandoned Building,04/12/2011,56
Vacant/Abandoned Building,04/12/2011,67
Vacant/Abandoned Building,04/12/2011,67
Vacant/Abandoned Building,04/12/2011,68
Vacant/Abandoned Building,04/13/2011,25
Vacant/Abandoned Building,04/13/2011,29
Vacant/Abandoned Building,04/13/2011,69
Vacant/Abandoned Building,04/14/2011,5
Vacant/Abandoned Building,04/14/2011,25
Vacant/Abandoned Building,04/14/2011,25
Vacant/Abandoned Building,04/14/2011,25
Vacant/Abandoned Building,04/14/2011,25
Vacant/Abandoned Building,04/14/2011,25
Vacant/Abandoned Building,04/14/2011,31
Vacant/Abandoned Building,04/14/2011,44
Vacant/Abandoned Building,04/14/2011,68
Vacant/Abandoned Building,04/15/2011,17
Vacant/Abandoned Building,04/15/2011,25
Vacant/Abandoned Building,04/15/2011,26
Vacant/Abandoned Building,04/15/2011,28
Vacant/Abandoned Building,04/15/2011,29
Vacant/Abandoned Building,04/15/2011,61
Vacant/Abandoned Building,04/15/2011,68
Vacant/Abandoned Building,04/17/2011,43
Vacant/Abandoned Building,04/17/2011,53
Vacant/Abandoned Building,04/17/2011,68
Vacant/Abandoned Building,04/18/2011,25
Vacant/Abandoned Building,04/18/2011,26
Vacant/Abandoned Building,04/18/2011,50
Vacant/Abandoned Building,04/18/2011,61
Vacant/Abandoned Building,04/18/2011,67
Vacant/Abandoned Building,04/18/2011,73
Vacant/Abandoned Building,04/19/2011,26
Vacant/Abandoned Building,04/19/2011,49
Vacant/Abandoned Building,04/19/2011,49
Vacant/Abandoned Building,04/19/2011,67
Vacant/Abandoned Building,04/19/2011,70
Vacant/Abandoned Building,04/20/2011,43
Vacant/Abandoned Building,04/20/2011,67
Vacant/Abandoned Building,04/20/2011,71
Vacant/Abandoned Building,04/21/2011,25
Vacant/Abandoned Building,04/21/2011,49
Vacant/Abandoned Building,04/21/2011,61
Vacant/Abandoned Building,04/22/2011,1
Vacant/Abandoned Building,04/22/2011,25
Vacant/Abandoned Building,04/22/2011,27
