Date, Community Area
04/06/2011,46
04/06/2011,63
04/07/2011,29
04/07/2011,53
04/07/2011,41
04/07/2011,29
04/07/2011,69
04/07/2011,23
04/07/2011,29
04/07/2011,25
04/07/2011,53
04/08/2011,67
04/08/2011,29
04/08/2011,29
04/08/2011,67
04/08/2011,42
04/08/2011,65
04/09/2011,23
04/10/2011,49
04/10/2011,23
04/11/2011,68
04/11/2011,49
04/11/2011,68
04/11/2011,46
04/11/2011,29
04/11/2011,29
04/11/2011,67
04/11/2011,29
04/11/2011,27
04/11/2011,47
04/11/2011,67
04/11/2011,25
04/11/2011,42
04/11/2011,73
04/11/2011,73
04/11/2011,73
04/12/2011,67
04/12/2011,5
04/12/2011,23
04/12/2011,45
04/12/2011,48
04/12/2011,48
04/12/2011,50
04/12/2011,48
04/12/2011,55
04/12/2011,26
04/12/2011,68
04/12/2011,56
04/12/2011,14
04/12/2011,25
04/12/2011,16
04/12/2011,67
04/13/2011,29
04/13/2011,69
04/13/2011,25
04/14/2011,25
04/14/2011,25
04/14/2011,44
04/14/2011,31
04/14/2011,5
04/14/2011,68
04/14/2011,25
04/14/2011,25
04/14/2011,25
04/15/2011,68
04/15/2011,29
04/15/2011,61
04/15/2011,25
04/15/2011,28
04/15/2011,26
04/15/2011,17
04/17/2011,43
04/17/2011,68
04/17/2011,53
04/18/2011,61
04/18/2011,73
04/18/2011,25
04/18/2011,67
04/18/2011,26
04/18/2011,50
04/19/2011,67
04/19/2011,70
04/19/2011,49
04/19/2011,49
04/19/2011,26
04/20/2011,43
04/20/2011,67
04/20/2011,71
04/21/2011,25
04/21/2011,49
04/21/2011,61
04/22/2011,66
04/22/2011,1
04/22/2011,28
04/22/2011,27
04/22/2011,27
04/22/2011,25
04/22/2011,49
04/23/2011,27
04/23/2011,68
04/23/2011,14
04/23/2011,73
04/23/2011,43
04/24/2011,22
04/25/2011,23
04/25/2011,67
04/25/2011,26
04/25/2011,77
04/25/2011,43
04/25/2011,46
04/26/2011,44
04/26/2011,23
04/26/2011,7
04/26/2011,68
04/27/2011,25
04/27/2011,29
04/27/2011,69
04/27/2011,23
04/27/2011,22
04/27/2011,4
04/27/2011,66
04/28/2011,29
04/28/2011,6
04/28/2011,71
04/28/2011,68
04/28/2011,44
04/28/2011,67
04/28/2011,67
04/28/2011,25
04/28/2011,25
04/29/2011,29
04/29/2011,29
04/29/2011,25
04/29/2011,66
04/30/2011,71
04/30/2011,66
05/01/2011,43
05/02/2011,44
05/02/2011,25
05/03/2011,61
05/03/2011,53
05/03/2011,69
05/03/2011,17
05/03/2011,47
05/03/2011,44
05/03/2011,7
05/03/2011,66
05/03/2011,66
05/03/2011,59
05/03/2011,22
05/03/2011,67
05/04/2011,26
05/04/2011,40
05/04/2011,48
05/05/2011,66
05/05/2011,5
05/06/2011,75
05/06/2011,67
05/06/2011,27
05/06/2011,43
05/07/2011,49
05/08/2011,58
05/09/2011,71
05/09/2011,49
05/09/2011,46
05/09/2011,46
05/09/2011,46
05/09/2011,68
05/10/2011,22
05/11/2011,51
05/11/2011,40
05/11/2011,23
05/11/2011,66
05/11/2011,26
05/11/2011,69
05/12/2011,68
05/12/2011,68
05/12/2011,25
05/12/2011,49
05/12/2011,40
05/12/2011,71
