GEOG,2000_POP,2010_POP,POP_CHANGE,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,POP_25OV,HS,BACH,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_EMP,EMP_CHANGE,PCT_CHANGE,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc
Bridgeport,33694,31977,-1717,33878,7632,8630,6797,7283,2528,1007,36.36659811,10818,9546,951,11702,861,33840,27681,18834,16720,2114,8847,360,16069,8540,2442,3380,1478,229,23593,18631,5819,3729,3202,2089,1382,1302,816,43056.49241,12519,5609,6911,1310,13831,3873,438,3622,3694,2168,5.302083333,1674,1607,1659,8890,-9999,2043,5442,4626,1297,422,709,2751,1747,385,267322.8346,12907,Accommodation and Food Service,Health Care,Education,Retail Trade,Manufacturing,1790,1386,1178,1148,1095,4703,Manufacturing,Retail Trade,Education,Accommodation and Food Service,Wholesale Trade,1413,448,415,390,383,Outside of Chicago,The Loop,Near West Side,Near North Side,Armour Square,3960,2690,901,875,655,Outside of Chicago,Bridgeport,New City,Brighton Park,McKinley Park,1832,526,132,118,106,,,,,,,,,,,,,,,,11837,,,,,,,,,,1.406756213,1338.189154,243.5632646,0.182009594,224.911109,0.168071239,31.11269615,0.023249849,55.91002938,0.041780364,32.91951114,0.024600043,135.1449773,0.100990938,491.1837219,0.367051041,n/a,n/a,47.65808698,0.035613864,75.78575763,0.056633068
Brighton Park,44912,45368,456,44202,15143,9824,10091,6179,2139,826,30.74514793,2844,37620,677,2955,106,44106,32166,20579,17856,2721,11587,248,17136,10386,2652,3145,782,171,25686,14305,2245,3540,4726,1965,937,632,230,36077.44108,12030,5554,6476,1963,13993,3206,263,6402,3541,546,5.346905537,468,912,2675,9938,-9999,1217,6154,4998,1047,577,2249,2940,313,52,165602.8369,12260,Manufacturing,Accommodation and Food Service,Retail Trade,Administration,Health Care,2044,1429,1364,1334,1231,4427,Manufacturing,Retail Trade,Wholesale Trade,Accommodation and Food Service,Transportation,1328,779,661,357,349,Outside of Chicago,The Loop,Near North Side,Near West Side,Brighton Park,4762,1516,672,645,414,Outside of Chicago,Brighton Park,South Lawndale,Gage Park,West Lawn,2056,414,129,129,104,,,,,,,,,,,,,,,,13383,,,,,,,,,,0.183770934,1742.258738,246.0825852,0.141243421,304.0917533,0.174538802,27.38520041,0.015718217,79.46826679,0.045612207,46.85359734,0.026892445,276.7525712,0.158846998,697.3621512,0.400263254,n/a,n/a,8.12304284,0.004662363,56.13957024,0.032222292
Burnside,3294,2916,-378,2601,751,479,333,568,364,106,37.39895833,0,0,2601,0,0,2601,2074,1089,855,234,985,15,760,337,123,300,0,0,1680,1323,143,458,221,56,54,74,24,23632.07547,887,405,482,389,1276,683,12,219,174,188,5.703557312,212,143,420,501,-9999,290,276,458,235,17,287,112,6,0,116100,868,Health Care,Education,Retail Trade,Administration,Accommodation and Food Service,170,94,85,80,78,1760,Transportation,Manufacturing,Retail Trade,Health Care,Wholesale Trade,1036,404,104,88,58,Outside of Chicago,The Loop,Near North Side,Near West Side,Grand Boulevard,307,176,75,63,17,Outside of Chicago,Roseland,Auburn Gresham,Chatham,South Shore,616,82,79,65,57,,,,,,,,,,,,,,,,15618,,,,,,,,,,2.698497105,390.174082,67.20556194,0.17224507,13.89242205,0.035605702,1.649768543,0.004228288,14.60364296,0.037428532,7.372730935,0.018896004,116.3595538,0.298224713,130.6471602,0.334843256,n/a,n/a,7.018790969,0.01798887,31.42445061,0.080539564
Calumet Heights,15974,13812,-2162,13732,2760,1823,2822,3008,2279,1040,46.72941176,308,443,12835,5,141,13725,11557,6486,5392,1094,5071,108,5091,3380,369,1237,79,26,10353,9160,2841,1337,1352,912,790,711,267,49922.94521,5369,4176,1193,621,5990,4491,183,544,505,235,6.453326457,94,443,3985,1468,-9999,322,1450,3121,759,338,1972,1970,125,86,153710.9375,4533,Health Care,Education,Public Administration,Administration,Retail Trade,838,639,443,382,372,2150,Health Care,Accommodation and Food Service,Retail Trade,Administration,Other Service,1262,261,180,77,76,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,1413,1161,355,324,116,Outside of Chicago,South Shore,Roseland,South Chicago,Auburn Gresham,1226,49,49,49,38,,,,,,,,,,,,,,,,15263,,,,,,,,,,1.535345368,1120.896268,436.2106484,0.38916237,49.68207769,0.044323528,3.592654225,0.003205162,35.94851314,0.032071222,30.24765505,0.02698524,10.15411592,0.009058926,463.3579473,0.413381649,n/a,n/a,21.08336259,0.018809379,70.61929386,0.063002524
Chatham,37275,31028,-6247,31392,7526,5674,5959,7323,3281,1629,41.0222331,389,287,30329,109,278,31345,25266,14979,11933,3046,10286,351,10954,5892,911,3819,224,109,21854,18894,4895,5574,3490,2134,1186,850,325,32221.74658,13560,5027,8534,2972,16533,5366,454,1580,2938,6175,5.424884259,415,1495,7717,6905,-9999,4594,5575,4653,1288,424,2710,2005,243,45,140956.5217,9993,Health Care,Education,Administration,Retail Trade,Accommodation and Food Service,2040,1271,928,915,786,3855,Retail Trade,Finance,Health Care,Accommodation and Food Service,Manufacturing,1858,627,348,328,160,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,2833,2417,771,739,260,Outside of Chicago,Chatham,South Shore,Auburn Gresham,Roseland,1743,174,128,124,114,,,,,,,,,,,,,,,,11046,,,,,,,,,,1.111345233,1889.82256,527.917895,0.279347864,255.6696329,0.135287639,17.70624295,0.009369262,178.9980698,0.094716866,69.07877111,0.036553046,46.85586672,0.024793792,685.5078653,0.362736629,n/a,n/a,34.88734955,0.018460648,73.20086639,0.038734254
Chicago Lawn,61412,55628,-5784,55551,18975,12949,11042,8239,3484,862,30.39176092,1873,26377,26100,529,672,55255,40742,25571,19975,5588,15171,529,18718,11300,2703,4126,555,34,31956,22118,2733,6074,4888,2322,1272,864,285,33121.70475,15705,7021,8684,3025,18730,8045,114,4071,3609,2851,5.810556079,297,1914,10616,5903,-9999,3259,5480,6749,2126,1116,4742,2078,149,52,118931.9667,15976,Health Care,Manufacturing,Administration,Retail Trade,Accommodation and Food Service,2363,1917,1751,1718,1628,3477,Retail Trade,Health Care,Accommodation and Food Service,Finance,Transportation,1638,421,314,204,199,Outside of Chicago,The Loop,Near West Side,Near North Side,New City,6906,2082,971,896,252,Outside of Chicago,Chicago Lawn,Gage Park,Ashburn,West Lawn,1780,194,88,74,72,,,,,,,,,,,,,,,,13492,,,,,,,,,,5.552011621,2256.186074,672.6226912,0.298123767,255.7734987,0.113365427,34.14004797,0.015131752,105.4977577,0.046759334,65.37077737,0.028974019,54.71098352,0.024249322,706.7595108,0.313254088,n/a,n/a,308.4197976,0.136699628,52.89100968,0.023442663
Clearing,22331,23139,808,24962,6574,5448,5574,4068,2287,1011,36.1279338,11871,12361,140,319,271,24952,19513,13331,11966,1365,6182,159,11692,8264,1204,1838,302,84,16941,14212,2897,1708,1766,1897,1437,1277,445,60623.91681,8530,6034,2496,622,9152,5234,525,529,831,2007,5.715171408,277,2217,5767,891,-9999,971,2618,4227,926,410,1528,4130,364,0,183710.8954,10014,Public Administration,Education,Manufacturing,Health Care,Retail Trade,1202,1078,1027,973,908,3689,Manufacturing,Wholesale Trade,Construction,Professional,Real Estate,855,549,414,391,263,Outside of Chicago,The Loop,Near West Side,Near North Side,Garfield Ridge,4371,2323,433,394,227,Outside of Chicago,Clearing,Garfield Ridge,Brighton Park,Chicago Lawn,2310,223,113,68,66,,,,,,,,,,,,,,,,17022,,,,,,,,,,1.377821992,1633.26891,517.2850057,0.316717598,77.17083418,0.047249313,10.4125087,0.006375257,45.0972196,0.027611632,19.76108733,0.012099102,131.3054025,0.080394234,782.2995146,0.478977779,n/a,n/a,34.39319257,0.021057887,15.54414464,0.009517199
Douglas,26470,18238,-8232,20323,4185,6391,3617,3369,1969,792,33.49248094,2165,485,14365,2913,395,17720,17470,9591,8101,1490,7879,327,7366,3240,448,2712,897,69,13384,11560,5422,4407,1809,1480,750,445,385,29184.78261,9276,1688,7588,1267,10543,706,675,290,604,8253,3.972567445,1120,3195,4884,1344,-9999,5067,3162,1633,558,123,531,591,496,70,224835.5263,6383,Health Care,Education,Administration,Accommodation and Food Service,Retail Trade,1170,790,582,513,490,6188,Education,Health Care,Administration,Real Estate,Accommodation and Food Service,2488,921,629,615,428,The Loop,Outside of Chicago,Near North Side,Near West Side,Near South Side,1651,1620,611,560,221,Outside of Chicago,Douglas,Auburn Gresham,Lake View,South Shore,2339,156,152,144,144,,,,,,,,,,,,,,,,11547,,,,,,,,,,3.673449564,1052.858844,70.36791504,0.066835089,166.3824515,0.15802921,3.524405597,0.003347463,51.13749828,0.048570137,230.8935119,0.219301489,0.811398638,0.000770662,333.1177392,0.316393542,n/a,n/a,74.65551548,0.070907431,121.9684084,0.115844977
Dunning,42164,41932,-232,43025,9829,8925,8357,9413,4563,1938,40.61131985,28340,11448,1035,1775,427,42858,35012,23552,21824,1694,11460,224,21278,16483,1900,2115,499,281,30942,26769,7306,2972,3669,2750,2427,2479,1135,59737.31884,15432,11214,4218,1054,16486,10595,483,1230,1203,2908,5.799642618,779,3263,8229,4215,-9999,1585,6465,5767,2047,622,1443,7403,2100,245,227721.3228,19146,Health Care,Retail Trade,Manufacturing,Education,Accommodation and Food Service,2296,2039,1997,1806,1530,6714,Health Care,Education,Administration,Retail Trade,Manufacturing,1620,1069,791,738,727,Outside of Chicago,The Loop,Near North Side,Near West Side,O'Hare,9742,3027,738,668,524,Outside of Chicago,Dunning,Portage Park,Austin,Belmont Cragin,2893,485,224,208,173,,,,,,,,,,,,,,,,15422,,,,,,,,,,1.704437187,2378.213985,1011.558136,0.425343616,138.3641627,0.058179863,21.70580595,0.009126936,68.03152492,0.028606141,358.0088773,0.150536865,29.32479114,0.012330594,641.2899429,0.26965191,0.085958142,3.61E-05,73.33340998,0.030835497,36.5113759,0.015352435
East Garfield Park,20881,20567,-314,20656,6965,4909,3520,3426,1371,465,29.79446653,878,727,18854,57,140,19817,14987,7032,5604,1428,7955,274,5229,2648,204,1939,264,174,11805,9258,1500,3753,1403,741,575,289,162,21481.92771,6923,1580,5343,1488,8411,967,330,2104,2467,2540,5.546239837,670,991,1134,5616,-9999,1880,2389,2982,879,282,666,752,143,15,174596.7742,6873,Health Care,Administration,Retail Trade,Education,Accommodation and Food Service,1279,813,775,700,586,3248,Health Care,Professional,Administration,Construction,Manufacturing,1155,533,379,276,169,Outside of Chicago,The Loop,Near West Side,Near North Side,West Town,2588,1113,555,431,184,Outside of Chicago,Austin,Lake View,West Town,East Garfield Park,1380,108,85,75,74,,,,,,,,,,,,,,,,7995,,,,,,,,,,8.861892314,1236.988524,58.8350693,0.047563149,208.1052652,0.168235405,9.221605528,0.007454884,38.66357761,0.031256214,82.52456646,0.066714092,74.81390382,0.060480677,412.4637664,0.33344187,n/a,n/a,183.0512476,0.147981363,169.3095216,0.136872346
